OrderID,OrderStatus,TotalPrice,OrderTime,UserID,SpecialInstructions,CancellationReason
26,Completed,404.49,2024-12-07 04:37:05.442383,9,No special instructions,N/A
27,Cancelled,395.92,2024-12-18 03:37:05.442389,9,Separate packaging,Restaurant issue
28,Completed,192.79,2024-11-04 06:37:05.442396,10,"No onions, please",N/A
29,Cancelled,213.8,2024-12-06 03:37:05.442401,10,Separate packaging,Customer request
30,Cancelled,210.16,2024-12-08 15:37:05.442406,10,Extra spicy,Customer request
31,Pending,244.87,2024-12-16 12:37:05.442422,11,Extra spicy,N/A
32,Pending,230.27,2024-12-22 17:37:05.442428,11,"No onions, please",Restaurant issue
33,Cancelled,258.5,2024-11-01 23:37:05.442433,11,Separate packaging,N/A
34,Pending,197.71,2024-12-18 13:37:05.442439,12,Separate packaging,Restaurant issue
35,Completed,222.63,2024-12-24 18:37:05.442445,12,Separate packaging,N/A
36,Cancelled,150.18,2024-12-26 02:37:05.442450,12,No special instructions,N/A
37,Pending,319.01,2024-11-19 23:37:05.442456,13,Separate packaging,N/A
38,Cancelled,208.02,2024-12-06 09:37:05.442461,13,Extra spicy,Restaurant issue
39,Pending,141.0,2024-11-22 05:37:05.442467,13,Extra spicy,N/A
40,Completed,267.14,2024-12-23 06:37:05.442473,14,Extra spicy,N/A
41,Cancelled,206.71,2024-12-05 18:37:05.442478,14,"No onions, please",Restaurant issue
42,Completed,217.35,2024-12-07 20:37:05.442484,14,No special instructions,Restaurant issue
43,Cancelled,207.34,2024-11-25 05:37:05.442490,15,Extra spicy,N/A
44,Completed,457.65,2024-12-17 22:37:05.442496,15,"No onions, please",N/A
45,Cancelled,236.84,2024-11-20 22:37:05.442501,15,"No onions, please",Restaurant issue
46,Cancelled,433.85,2024-12-01 07:37:05.442508,16,"No onions, please",N/A
47,Completed,305.36,2024-11-26 05:37:05.442513,16,"No onions, please",N/A
48,Pending,373.33,2024-12-15 00:37:05.442519,16,No special instructions,N/A
49,Cancelled,465.14,2024-11-13 01:37:05.442524,17,No special instructions,Restaurant issue
50,Pending,401.02,2024-11-16 08:37:05.442530,17,No special instructions,N/A
51,Pending,489.12,2024-12-17 11:37:05.442539,17,No special instructions,Restaurant issue
52,Pending,235.3,2024-12-06 10:37:05.442549,18,No special instructions,N/A
53,Pending,392.47,2024-11-22 15:37:05.442559,18,"No onions, please",N/A
54,Cancelled,452.66,2024-12-21 12:37:05.442565,18,"No onions, please",Restaurant issue
55,Completed,235.78,2024-11-19 10:37:05.442572,19,"No onions, please",N/A
56,Completed,394.33,2024-11-09 21:37:05.442577,19,Separate packaging,Restaurant issue
57,Cancelled,162.42,2024-11-22 13:37:05.442583,19,Separate packaging,N/A
58,Completed,203.26,2024-12-07 21:37:05.442588,20,Separate packaging,Customer request
59,Pending,121.32,2024-12-02 14:37:05.442594,20,"No onions, please",Restaurant issue
60,Cancelled,388.13,2024-12-12 21:37:05.442600,20,No special instructions,N/A
61,Cancelled,180.07,2024-12-27 06:37:05.442606,21,No special instructions,Restaurant issue
62,Pending,157.64,2024-11-27 13:37:05.442620,21,Separate packaging,N/A
63,Completed,439.5,2024-12-21 20:37:05.442629,21,"No onions, please",Customer request
64,Completed,176.31,2024-12-15 02:37:05.442641,22,No special instructions,N/A
65,Pending,303.29,2025-01-01 07:37:05.442646,22,Separate packaging,Customer request
66,Pending,134.84,2024-11-29 20:37:05.442652,22,Separate packaging,Restaurant issue
67,Pending,484.01,2024-11-11 02:37:05.442658,23,No special instructions,N/A
68,Cancelled,123.61,2024-12-02 06:37:05.442663,23,Extra spicy,N/A
69,Cancelled,427.08,2024-12-03 22:37:05.442668,23,Separate packaging,N/A
70,Completed,322.61,2024-11-19 06:37:05.442674,24,Separate packaging,N/A
71,Completed,367.73,2024-11-02 17:37:05.442679,24,"No onions, please",Restaurant issue
72,Completed,209.12,2024-12-23 01:37:05.442685,24,Extra spicy,N/A
73,Pending,461.93,2024-11-21 15:37:05.442690,25,No special instructions,N/A
74,Completed,154.11,2024-11-05 07:37:05.442695,25,No special instructions,Restaurant issue
75,Cancelled,361.53,2024-11-23 20:37:05.442701,25,Separate packaging,N/A
76,Completed,218.22,2024-12-23 13:37:05.442711,26,No special instructions,Restaurant issue
77,Pending,292.98,2024-11-01 19:37:05.442722,26,Extra spicy,Restaurant issue
78,Pending,167.37,2024-12-08 00:37:05.442733,26,Extra spicy,N/A
79,Pending,326.84,2024-11-17 13:37:05.442743,27,No special instructions,Customer request
80,Completed,460.53,2024-11-03 01:37:05.442750,27,Separate packaging,Customer request
81,Cancelled,158.58,2024-12-06 14:37:05.442756,27,Extra spicy,Customer request
82,Cancelled,459.98,2024-11-23 03:37:05.442766,28,No special instructions,Restaurant issue
83,Pending,266.25,2024-11-21 16:37:05.442776,28,Extra spicy,N/A
84,Cancelled,273.71,2024-12-13 06:37:05.442785,28,"No onions, please",N/A
85,Cancelled,282.82,2024-12-20 05:37:05.442795,29,No special instructions,Customer request
86,Pending,205.96,2024-12-11 13:37:05.442807,29,"No onions, please",N/A
87,Completed,198.03,2024-12-31 21:37:05.442814,29,Separate packaging,Customer request
88,Pending,325.24,2024-12-03 10:37:05.442821,30,Separate packaging,Restaurant issue
89,Completed,331.28,2024-12-29 05:37:05.442826,30,No special instructions,Customer request
90,Pending,248.05,2024-11-08 06:37:05.442832,30,No special instructions,Customer request
91,Cancelled,170.3,2024-12-25 05:37:05.442839,31,Extra spicy,Customer request
92,Completed,210.91,2024-11-09 22:37:05.442845,31,No special instructions,Restaurant issue
93,Pending,367.09,2024-11-06 17:37:05.442850,31,Separate packaging,N/A
94,Completed,498.35,2024-12-08 03:37:05.442856,32,No special instructions,N/A
95,Cancelled,378.0,2024-11-08 01:37:05.442861,32,"No onions, please",N/A
96,Pending,181.86,2024-12-29 13:37:05.442868,32,No special instructions,N/A
97,Completed,222.46,2024-11-27 08:37:05.442873,33,Separate packaging,N/A
98,Completed,252.34,2024-12-01 05:37:05.442879,33,No special instructions,Restaurant issue
99,Cancelled,211.81,2024-12-24 16:37:05.442885,33,Separate packaging,Customer request
100,Pending,228.19,2024-12-05 01:37:05.442891,34,No special instructions,N/A
101,Completed,386.67,2024-12-12 08:37:05.442897,34,Extra spicy,Customer request
102,Completed,275.39,2024-12-25 13:37:05.442902,34,No special instructions,N/A
103,Completed,182.83,2024-12-24 16:37:05.442908,35,No special instructions,N/A
104,Pending,414.15,2024-12-12 14:37:05.442913,35,Separate packaging,N/A
105,Cancelled,377.91,2024-11-10 12:37:05.442919,35,"No onions, please",Restaurant issue
106,Cancelled,134.03,2024-12-11 01:37:05.442925,36,No special instructions,Customer request
107,Cancelled,253.51,2024-12-24 16:37:05.442930,36,No special instructions,Customer request
108,Cancelled,233.22,2024-11-19 02:37:05.442936,36,"No onions, please",Customer request
109,Completed,271.69,2024-11-26 15:37:05.442942,37,Extra spicy,N/A
110,Cancelled,123.75,2024-11-07 06:37:05.442955,37,Separate packaging,Customer request
111,Cancelled,313.84,2024-11-08 04:37:05.442965,37,"No onions, please",Customer request
112,Pending,207.24,2024-12-25 14:37:05.442972,38,No special instructions,N/A
113,Cancelled,474.2,2024-11-09 14:37:05.442977,38,No special instructions,Customer request
114,Cancelled,233.58,2024-12-09 16:37:05.442983,38,Separate packaging,N/A
115,Cancelled,450.07,2024-12-30 07:37:05.442988,39,"No onions, please",Restaurant issue
116,Cancelled,362.64,2024-12-13 22:37:05.442994,39,Extra spicy,N/A
117,Completed,399.99,2024-11-03 12:37:05.442999,39,Separate packaging,Restaurant issue
118,Pending,262.31,2024-12-26 23:37:05.443005,40,"No onions, please",N/A
119,Cancelled,223.23,2024-12-27 22:37:05.443010,40,Separate packaging,Customer request
120,Completed,373.53,2024-11-24 04:37:05.443016,40,No special instructions,Customer request
121,Pending,437.28,2024-12-13 17:37:05.443022,41,Separate packaging,N/A
122,Cancelled,325.55,2024-12-02 23:37:05.443029,41,"No onions, please",Restaurant issue
123,Completed,460.46,2024-12-01 11:37:05.443041,41,Extra spicy,N/A
124,Completed,137.8,2024-11-14 21:37:05.443048,42,No special instructions,N/A
125,Cancelled,167.25,2024-12-03 13:37:05.443054,42,Separate packaging,N/A
126,Completed,178.13,2024-11-13 17:37:05.443059,42,Extra spicy,N/A
127,Cancelled,317.72,2024-11-13 18:37:05.443065,43,No special instructions,N/A
128,Cancelled,407.11,2024-11-19 16:37:05.443071,43,Separate packaging,N/A
129,Cancelled,149.98,2024-11-25 14:37:05.443077,43,No special instructions,N/A
130,Completed,351.5,2024-12-11 05:37:05.443083,44,No special instructions,N/A
131,Completed,482.37,2024-11-15 18:37:05.443089,44,Separate packaging,N/A
132,Completed,490.01,2024-12-27 14:37:05.443099,44,"No onions, please",N/A
133,Cancelled,447.84,2024-11-18 05:37:05.443108,45,No special instructions,N/A
134,Completed,234.56,2024-11-22 11:37:05.443117,45,No special instructions,N/A
135,Completed,318.54,2024-12-04 20:37:05.443127,45,Separate packaging,Restaurant issue
136,Cancelled,246.23,2024-11-24 10:37:05.443135,46,Extra spicy,N/A
137,Pending,174.74,2024-12-31 07:37:05.443141,46,"No onions, please",N/A
138,Cancelled,493.99,2024-11-16 06:37:05.443146,46,No special instructions,Customer request
139,Pending,136.24,2024-11-03 06:37:05.443152,47,Extra spicy,N/A
140,Pending,162.85,2024-11-23 03:37:05.443157,47,Separate packaging,Customer request
141,Cancelled,354.52,2024-11-13 10:37:05.443163,47,No special instructions,Customer request
142,Pending,145.08,2024-11-27 21:37:05.443169,48,No special instructions,N/A
143,Pending,110.45,2024-12-21 20:37:05.443175,48,Separate packaging,Customer request
144,Pending,465.37,2024-12-22 09:37:05.443181,48,"No onions, please",N/A
145,Pending,171.93,2024-12-11 08:37:05.443186,49,Separate packaging,N/A
146,Pending,314.68,2024-12-19 16:37:05.443191,49,"No onions, please",N/A
147,Pending,359.15,2024-11-06 16:37:05.443200,49,Separate packaging,Restaurant issue
148,Cancelled,278.37,2024-12-11 10:37:05.443211,50,Separate packaging,Customer request
149,Cancelled,158.43,2024-12-22 05:37:05.443219,50,Extra spicy,N/A
150,Pending,368.74,2024-12-25 03:37:05.443225,50,"No onions, please",N/A
151,Pending,410.22,2024-12-25 05:37:05.443230,51,"No onions, please",N/A
152,Cancelled,441.57,2024-12-25 18:37:05.443236,51,No special instructions,Customer request
153,Pending,358.13,2024-11-03 04:37:05.443241,51,"No onions, please",Customer request
154,Cancelled,138.91,2024-11-28 13:37:05.443247,52,Extra spicy,Restaurant issue
155,Cancelled,155.86,2024-11-17 15:37:05.443253,52,No special instructions,Customer request
156,Cancelled,394.76,2024-11-18 15:37:05.443259,52,No special instructions,Restaurant issue
157,Cancelled,234.67,2024-11-10 08:37:05.443265,53,Extra spicy,Restaurant issue
158,Completed,358.91,2024-12-06 21:37:05.443270,53,"No onions, please",Restaurant issue
159,Pending,436.87,2024-12-06 23:37:05.443276,53,Separate packaging,N/A
160,Pending,138.39,2024-11-25 18:37:05.443288,54,"No onions, please",Customer request
161,Cancelled,333.07,2024-11-02 07:37:05.443298,54,Separate packaging,Customer request
162,Cancelled,293.74,2024-11-12 19:37:05.443304,54,No special instructions,Restaurant issue
163,Pending,154.78,2024-11-06 19:37:05.443311,55,Separate packaging,N/A
164,Completed,348.79,2024-11-14 09:37:05.443316,55,Extra spicy,N/A
165,Completed,358.96,2024-11-10 16:37:05.443321,55,"No onions, please",Restaurant issue
166,Pending,214.34,2024-11-01 17:37:05.443327,56,No special instructions,N/A
167,Pending,214.95,2024-11-07 20:37:05.443332,56,"No onions, please",Customer request
168,Cancelled,422.3,2024-11-21 05:37:05.443338,56,"No onions, please",Customer request
169,Completed,399.39,2024-12-17 00:37:05.443344,57,Separate packaging,N/A
170,Pending,483.87,2024-11-17 08:37:05.443349,57,Extra spicy,Restaurant issue
171,Cancelled,494.06,2024-12-01 05:37:05.443355,57,"No onions, please",N/A
172,Cancelled,285.04,2024-12-14 13:37:05.443361,58,Extra spicy,Customer request
173,Pending,345.77,2024-11-24 16:37:05.443372,58,No special instructions,N/A
174,Completed,433.26,2024-12-20 14:37:05.443382,58,No special instructions,N/A
175,Cancelled,303.33,2024-11-12 17:37:05.443388,59,No special instructions,Customer request
176,Completed,355.41,2024-11-29 11:37:05.443394,59,No special instructions,Customer request
177,Cancelled,134.29,2024-12-13 11:37:05.443400,59,Separate packaging,Restaurant issue
178,Pending,102.15,2024-12-14 23:37:05.443405,60,Extra spicy,Customer request
179,Pending,311.66,2024-12-13 23:37:05.443412,60,Extra spicy,Customer request
180,Cancelled,119.92,2024-11-14 09:37:05.443418,60,Separate packaging,Restaurant issue
181,Completed,476.4,2024-12-22 01:37:05.443424,61,Extra spicy,Restaurant issue
182,Completed,453.61,2024-12-05 21:37:05.443429,61,"No onions, please",Restaurant issue
183,Cancelled,450.22,2024-12-11 08:37:05.443435,61,"No onions, please",N/A
184,Completed,436.15,2024-11-27 20:37:05.443441,62,Separate packaging,Restaurant issue
185,Pending,168.56,2024-12-09 03:37:05.443451,62,"No onions, please",Customer request
186,Completed,413.78,2024-11-07 16:37:05.443461,62,No special instructions,Customer request
187,Completed,433.2,2024-12-12 10:37:05.443467,63,Extra spicy,Customer request
188,Cancelled,199.79,2024-12-29 08:37:05.443473,63,"No onions, please",N/A
189,Pending,168.73,2024-11-30 02:37:05.443478,63,Extra spicy,N/A
190,Pending,288.3,2024-12-30 07:37:05.443484,64,Extra spicy,N/A
191,Cancelled,321.85,2024-12-25 11:37:05.443489,64,Extra spicy,Customer request
192,Cancelled,473.91,2024-11-10 00:37:05.443496,64,Separate packaging,N/A
193,Completed,282.28,2024-12-02 21:37:05.443502,65,Extra spicy,N/A
194,Pending,420.62,2024-12-17 15:37:05.443507,65,"No onions, please",Customer request
195,Completed,170.44,2024-11-22 19:37:05.443513,65,"No onions, please",N/A
196,Completed,161.16,2024-12-23 13:37:05.443518,66,Extra spicy,Customer request
197,Completed,240.49,2024-11-14 17:37:05.443525,66,Extra spicy,Customer request
198,Cancelled,195.5,2024-12-24 07:37:05.443537,66,No special instructions,N/A
199,Completed,288.01,2024-12-03 15:37:05.443544,67,Extra spicy,Customer request
200,Pending,162.95,2024-11-07 11:37:05.443549,67,Extra spicy,N/A
201,Completed,369.11,2024-12-14 05:37:05.443555,67,Extra spicy,N/A
202,Completed,147.4,2024-12-25 12:37:05.443562,68,Separate packaging,N/A
203,Completed,345.19,2024-11-21 13:37:05.443568,68,Extra spicy,Customer request
204,Cancelled,348.85,2024-12-12 11:37:05.443574,68,No special instructions,Customer request
205,Cancelled,215.07,2024-11-02 13:37:05.443581,69,Extra spicy,N/A
206,Completed,443.72,2024-11-11 21:37:05.443586,69,No special instructions,Restaurant issue
207,Cancelled,442.66,2024-12-17 04:37:05.443592,69,"No onions, please",N/A
208,Cancelled,497.27,2024-11-30 02:37:05.443598,70,Separate packaging,N/A
209,Completed,117.58,2024-12-08 22:37:05.443603,70,Separate packaging,N/A
210,Cancelled,224.58,2024-11-30 09:37:05.443608,70,"No onions, please",N/A
211,Pending,479.47,2024-12-01 06:37:05.443614,71,No special instructions,Restaurant issue
212,Completed,466.27,2024-12-22 18:37:05.443620,71,"No onions, please",N/A
213,Cancelled,253.59,2024-12-06 16:37:05.443625,71,Extra spicy,Restaurant issue
214,Cancelled,441.81,2024-11-20 08:37:05.443632,72,Separate packaging,Restaurant issue
215,Completed,398.96,2024-12-09 12:37:05.443637,72,Extra spicy,Restaurant issue
216,Completed,456.18,2024-12-22 07:37:05.443643,72,"No onions, please",N/A
217,Cancelled,130.78,2024-11-19 13:37:05.443649,73,No special instructions,Restaurant issue
218,Pending,104.67,2024-11-11 08:37:05.443654,73,"No onions, please",N/A
219,Completed,202.38,2024-11-17 07:37:05.443660,73,Separate packaging,N/A
220,Completed,294.75,2024-11-08 21:37:05.443665,74,No special instructions,Restaurant issue
221,Completed,123.83,2024-12-08 11:37:05.443671,74,No special instructions,N/A
222,Pending,229.94,2024-12-01 04:37:05.443676,74,Separate packaging,Customer request
223,Cancelled,401.38,2024-12-29 23:37:05.443683,75,Separate packaging,Customer request
224,Cancelled,195.89,2024-11-15 16:37:05.443689,75,Separate packaging,Restaurant issue
225,Pending,405.65,2024-11-29 16:37:05.443695,75,"No onions, please",Customer request
226,Cancelled,479.07,2024-12-29 15:37:05.443702,76,"No onions, please",Customer request
227,Cancelled,137.48,2024-12-31 19:37:05.443708,76,Separate packaging,Customer request
228,Pending,333.08,2024-12-23 19:37:05.443714,76,Separate packaging,Restaurant issue
229,Pending,358.38,2024-12-18 19:37:05.443720,77,"No onions, please",Customer request
230,Cancelled,442.54,2024-11-30 20:37:05.443726,77,Separate packaging,N/A
231,Completed,265.06,2024-12-24 05:37:05.443731,77,No special instructions,Restaurant issue
232,Pending,164.45,2024-11-30 08:37:05.443737,78,No special instructions,N/A
233,Pending,243.53,2024-11-25 13:37:05.443743,78,"No onions, please",Restaurant issue
234,Completed,169.9,2024-12-18 06:37:05.443749,78,Extra spicy,Restaurant issue
235,Pending,245.99,2024-11-30 14:37:05.443755,79,"No onions, please",N/A
236,Cancelled,452.68,2024-12-05 13:37:05.443760,79,No special instructions,N/A
237,Pending,127.26,2024-11-08 14:37:05.443765,79,"No onions, please",Restaurant issue
238,Completed,467.98,2024-12-12 20:37:05.443771,80,Separate packaging,Customer request
239,Pending,166.17,2025-01-01 02:37:05.443777,80,Separate packaging,Customer request
240,Pending,315.24,2024-12-05 04:37:05.443783,80,"No onions, please",Restaurant issue
241,Pending,157.58,2024-11-18 22:37:05.443789,81,No special instructions,N/A
242,Pending,216.17,2024-12-23 14:37:05.443794,81,Separate packaging,Restaurant issue
243,Pending,331.58,2024-11-12 15:37:05.443800,81,Separate packaging,Customer request
244,Pending,122.74,2024-11-10 22:37:05.443811,82,No special instructions,N/A
245,Pending,106.04,2024-12-16 22:37:05.443821,82,No special instructions,N/A
246,Pending,245.36,2024-12-20 14:37:05.443827,82,No special instructions,N/A
247,Completed,435.17,2024-11-19 22:37:05.443832,83,"No onions, please",Customer request
248,Completed,149.05,2024-11-26 07:37:05.443838,83,"No onions, please",Customer request
249,Completed,239.77,2024-11-24 20:37:05.443845,83,Extra spicy,N/A
250,Completed,201.51,2024-12-01 06:37:05.443856,84,No special instructions,Restaurant issue
251,Pending,192.35,2024-11-08 14:37:05.443865,84,Extra spicy,N/A
252,Completed,179.08,2024-12-18 09:37:05.443870,84,"No onions, please",Customer request
253,Completed,298.94,2024-12-06 17:37:05.443876,85,"No onions, please",N/A
254,Cancelled,395.32,2024-11-28 05:37:05.443882,85,No special instructions,Restaurant issue
255,Completed,121.21,2024-12-11 18:37:05.443887,85,Separate packaging,N/A
256,Pending,459.82,2024-11-24 20:37:05.443894,86,Separate packaging,Restaurant issue
257,Cancelled,407.89,2024-12-04 20:37:05.443900,86,"No onions, please",N/A
258,Completed,389.52,2024-12-01 21:37:05.443906,86,Separate packaging,N/A
259,Completed,456.14,2024-12-22 07:37:05.443911,87,Extra spicy,N/A
260,Pending,246.16,2024-11-18 03:37:05.443917,87,No special instructions,N/A
261,Completed,207.58,2024-11-19 06:37:05.443923,87,No special instructions,Customer request
262,Completed,283.21,2024-12-15 21:37:05.443929,88,No special instructions,N/A
263,Pending,341.31,2024-11-29 00:37:05.443935,88,No special instructions,Restaurant issue
264,Completed,192.61,2024-11-10 19:37:05.443941,88,Separate packaging,N/A
265,Cancelled,473.65,2024-12-19 15:37:05.443947,89,No special instructions,N/A
266,Cancelled,357.21,2024-11-17 01:37:05.443952,89,"No onions, please",N/A
267,Completed,162.33,2024-12-04 16:37:05.443957,89,"No onions, please",N/A
268,Pending,398.04,2024-12-10 00:37:05.443963,90,Separate packaging,Restaurant issue
269,Completed,116.34,2024-11-06 10:37:05.443969,90,Extra spicy,Restaurant issue
270,Cancelled,381.5,2024-11-20 03:37:05.443975,90,Separate packaging,N/A
271,Cancelled,106.03,2024-12-03 22:37:05.443981,91,Separate packaging,N/A
272,Completed,462.52,2024-12-20 08:37:05.443986,91,Separate packaging,Restaurant issue
273,Cancelled,239.84,2024-11-04 16:37:05.443992,91,"No onions, please",N/A
274,Cancelled,273.99,2024-11-16 20:37:05.443997,92,"No onions, please",Customer request
275,Pending,305.08,2024-12-12 05:37:05.444003,92,No special instructions,Restaurant issue
276,Pending,242.95,2024-11-04 09:37:05.444009,92,"No onions, please",N/A
277,Pending,402.41,2024-11-20 11:37:05.444014,93,Separate packaging,N/A
278,Cancelled,443.25,2024-12-26 14:37:05.444020,93,Extra spicy,Restaurant issue
279,Completed,199.93,2024-11-15 21:37:05.444026,93,"No onions, please",N/A
280,Pending,472.12,2024-12-22 03:37:05.444032,94,Extra spicy,N/A
281,Cancelled,266.48,2024-11-13 05:37:05.444037,94,"No onions, please",Restaurant issue
282,Completed,385.08,2024-12-25 13:37:05.444043,94,No special instructions,Restaurant issue
283,Completed,362.25,2024-11-28 18:37:05.444049,95,No special instructions,N/A
284,Cancelled,418.09,2024-12-18 11:37:05.444054,95,Extra spicy,Restaurant issue
285,Completed,410.52,2024-11-25 02:37:05.444060,95,No special instructions,N/A
286,Completed,355.3,2025-01-01 10:37:05.444066,96,No special instructions,N/A
287,Completed,432.95,2024-12-23 22:37:05.444072,96,Extra spicy,Customer request
288,Completed,491.53,2024-11-22 14:37:05.444079,96,No special instructions,N/A
289,Pending,178.87,2024-12-13 20:37:05.444084,97,No special instructions,Customer request
290,Completed,425.98,2024-12-01 23:37:05.444090,97,No special instructions,N/A
291,Pending,418.82,2024-12-15 21:37:05.444095,97,Extra spicy,N/A
292,Completed,471.35,2024-12-20 03:37:05.444101,98,Extra spicy,N/A
293,Cancelled,241.62,2024-12-11 20:37:05.444107,98,Separate packaging,N/A
294,Completed,387.73,2024-11-10 20:37:05.444112,98,Extra spicy,Restaurant issue
295,Cancelled,422.46,2024-12-06 07:37:05.444118,99,Extra spicy,N/A
296,Pending,465.58,2024-11-12 04:37:05.444123,99,"No onions, please",Customer request
297,Completed,339.34,2024-11-24 13:37:05.444129,99,"No onions, please",N/A
298,Cancelled,192.09,2024-11-20 03:37:05.444134,100,"No onions, please",Restaurant issue
299,Pending,219.89,2024-11-16 23:37:05.444140,100,No special instructions,Customer request
300,Pending,156.14,2024-11-04 12:37:05.444146,100,Separate packaging,Customer request
301,Pending,423.15,2024-11-26 01:37:05.444152,101,Separate packaging,N/A
302,Pending,190.8,2024-12-14 18:37:05.444158,101,"No onions, please",N/A
303,Cancelled,426.82,2024-12-22 13:37:05.444163,101,Separate packaging,N/A
304,Cancelled,376.51,2024-12-09 17:37:05.444169,102,Extra spicy,Customer request
305,Cancelled,430.11,2024-12-11 04:37:05.444178,102,Separate packaging,N/A
306,Cancelled,136.6,2024-11-11 04:37:05.444188,102,No special instructions,N/A
307,Completed,251.86,2024-12-02 05:37:05.444198,103,"No onions, please",Restaurant issue
308,Completed,182.35,2024-11-25 20:37:05.444208,103,"No onions, please",Customer request
309,Pending,376.07,2024-11-16 01:37:05.444214,103,"No onions, please",N/A
310,Completed,461.94,2024-11-27 08:37:05.444221,104,No special instructions,N/A
311,Completed,414.19,2024-11-27 12:37:05.444227,104,Extra spicy,Restaurant issue
312,Cancelled,211.36,2024-12-26 16:37:05.444233,104,Extra spicy,Restaurant issue
313,Pending,101.38,2024-11-19 23:37:05.444239,105,Extra spicy,N/A
314,Cancelled,217.78,2024-11-15 05:37:05.444244,105,Extra spicy,Restaurant issue
315,Pending,448.28,2024-12-11 13:37:05.444250,105,"No onions, please",Restaurant issue
316,Pending,251.4,2024-12-27 19:37:05.444256,106,Extra spicy,Customer request
317,Cancelled,372.9,2024-12-20 06:37:05.444262,106,Separate packaging,N/A
318,Completed,159.38,2024-11-23 17:37:05.444267,106,Extra spicy,N/A
319,Pending,452.35,2024-12-19 18:37:05.444273,107,"No onions, please",N/A
320,Completed,152.06,2024-12-30 04:37:05.444279,107,Separate packaging,N/A
321,Cancelled,464.02,2024-11-07 12:37:05.444285,107,Separate packaging,N/A
322,Cancelled,267.39,2024-12-25 20:37:05.444290,108,"No onions, please",N/A
323,Cancelled,135.83,2024-11-16 22:37:05.444297,108,Extra spicy,N/A
324,Completed,464.83,2024-12-10 13:37:05.444302,108,Separate packaging,N/A
325,Completed,395.08,2024-11-05 17:37:05.444308,109,Extra spicy,Customer request
326,Cancelled,272.05,2024-11-30 02:37:05.444314,109,No special instructions,Restaurant issue
327,Pending,150.24,2024-11-09 13:37:05.444320,109,Separate packaging,N/A
328,Cancelled,340.73,2024-11-07 06:37:05.444325,110,Extra spicy,Customer request
329,Completed,446.98,2024-11-29 08:37:05.444331,110,Extra spicy,N/A
330,Cancelled,483.35,2024-12-17 18:37:05.444337,110,Extra spicy,Restaurant issue
331,Cancelled,307.92,2024-11-13 17:37:05.444343,111,Separate packaging,N/A
332,Cancelled,490.31,2024-11-05 16:37:05.444349,111,Separate packaging,N/A
333,Completed,228.92,2024-11-09 03:37:05.444354,111,No special instructions,Restaurant issue
334,Cancelled,382.49,2024-11-20 13:37:05.444360,112,Separate packaging,N/A
335,Cancelled,203.31,2024-11-11 06:37:05.444365,112,Extra spicy,N/A
336,Completed,115.96,2024-12-16 00:37:05.444371,112,Extra spicy,N/A
337,Pending,209.49,2024-12-03 06:37:05.444378,113,Extra spicy,N/A
338,Pending,394.04,2024-12-29 19:37:05.444387,113,No special instructions,Restaurant issue
339,Cancelled,467.95,2024-11-02 16:37:05.444396,113,Separate packaging,Customer request
340,Completed,240.75,2024-12-29 07:37:05.444408,114,"No onions, please",Customer request
341,Pending,377.23,2024-11-09 08:37:05.444415,114,No special instructions,N/A
342,Completed,370.07,2024-11-08 02:37:05.444420,114,"No onions, please",N/A
